word,pos,meaning,altMeanings,rawMeaning,confidence,source,sources,rawSeparators
dumb,noun,口がきけない,馬鹿な / ばかげた / 口のきけない,口がきけない / 馬鹿な / ばかげた / 口のきけない / 無言の / ばか,0.35029999999999994,,"teppeki,target1900,systan",5
grace,noun,優美,優雅 / 分別 / 恩寵,優美，優雅 / 分別 / （神の）恩寵 / 優雅さ / 優美さ （say ―）（食事の前後の）感謝の祈り（をささげる）,0.35029999999999994,,"target1900,systan,leap",5
intelligent,adjective,聡明な,知能を有する / 知的な / 賢い,聡明な / 知能を有する / 知的な，賢い / 知能の高い、利口な,0.35029999999999994,,"target1900,leap,passtan1",5
life,noun,生活,生命 / 実物 / 本物,人生 / 生活 / 生命、人名 / （美術での）実物、本物,0.35029999999999994,,teppeki,5
outrageous,adjective,常軌を逸した,奇想天外な / 法外な / 途方もない,常軌を逸した，奇想天外な / 法外な、途方もない、けしからぬ / 乱暴な,0.35029999999999994,,"leap,passtan1,eiken1",5
pick up,phrase,拾う,取り上げる / 車に乗せる / 車で迎える,～を拾う、取り上げる / ～を車に乗せる、車で迎える / ～を買う / ～(言語・知識など)を身に付ける,0.35029999999999994,,teppeki,5
air,noun,空気,空 / 外見 / 態度,空気、空 / 外見、態度、雰囲気,0.35029999999999994,,teppeki,4
frame,noun,枠,縁 / 骨組み / 体格,枠，（額）縁 / 骨組み / 体格 / わく,0.35029999999999994,,"target1900,systan",4
gallery,noun,美術館,画廊 / 観客 / ギャラリー,美術館，画廊 / 観客，ギャラリー / 回廊,0.35029999999999994,,target1900,4
idea,noun,考え,思いつき / 理解 / 見解,考え，思いつき / 理解 / 見解 / 概念,0.35029999999999994,,target1900,4
inclined,adjective,傾向がある,傾いた / Ｖする傾向がある / Ｖしたい気がある,傾向がある / 傾いた / Ｖする傾向がある、Ｖしたい気がある / (be ～ to do)～する傾向がある ～したい気持ちだ,0.35029999999999994,,"target1900,systan,leap",4
literal,noun,文字通りの,字義通りの / 文字どおりの / 逐語的な,"文字通りの, 字義通りの / 文字どおりの / 逐語的な / 散文的な",0.35029999999999994,,"teppeki,target1900",4
make up,phrase,埋め合せる,取り戻す / 仲直りする / っち上げる,(～を)埋め合せる、取り戻す(for) / (～と)仲直りする / ～(話)をでっち上げる / 化粧する,0.35029999999999994,,teppeki,4
permanent,adjective,不変の,永続する / 永続的な / 永久,"不変の, 永続する / 永続的な（⇔ temporary ⇒ 793） / 永久 / 永久的な",0.35029999999999994,,"teppeki,target1900,systan,leap",4
pervasive,adjective,浸透する,充満する / まん延した / 隅々に広がった,隅々に広がった / 浸透する / 充満する / 広く行き渡った / まん延した,0.35029999999999994,,"target1900,leap,eiken1",4
present,noun,プレゼント,現在 / 現在の / 出席して,プレゼント 現在 現在の 出席して，存在して ～を贈る，提示する / を提示する、を進呈する,0.35029999999999994,,"leap,passtan1",4
primary,adjective,主要な,主な / 第の / 初期の,"第1の, 主要な / 主な，第の 初期の，原始の",0.35029999999999994,,"teppeki,leap",4
savage,adjective,野蛮な,容赦ない / どう猛な / 残酷な,野蛮な / （とても）容赦ない，どう猛な / 残酷な、凶暴な,0.35029999999999994,,"systan,leap,passtan1",4
stroll,verb,散策する,散歩する / 歩く / ぶらつく,(ぶらぶら)歩く / ぶらつく / 散策する / 散歩する、ぶらぶら歩く,0.35029999999999994,,"teppeki,systan,leap,passtan1",4
terminal,adjective,終点の,最終の / 終点 / 末期の,終点の、最終の / 終点 / (病気が)末期の 終着 [始発] 駅 (の建物)，ターミナルビル,0.35029999999999994,,"teppeki,systan,leap",4
ambivalent,adjective,矛盾する,相反する / どちらか決めかねて / 相反する感情を持った,矛盾する、相反する、どちらか決めかねて / 相反する感情を持った,0.35029999999999994,,"teppeki,eiken1",3
array,noun,多彩,さまざまな / 多彩な / 勢ぞろい,多彩 / (an ― of ～)さまざまな，多彩な / 勢ぞろい,0.35029999999999994,,"systan,leap,eiken1",3
aside,noun,脇に,わきに / 別にして / 考慮に入れないで,脇に / わきに、別にして、考慮に入れないで,0.35029999999999994,,"teppeki,passtan1",3
astonish,verb,驚かす,驚嘆させる / 驚かせる / びっくりさせる,～をびっくりさせる / を驚かす / ～を驚嘆させる / ～を（とても）驚かせる,0.35029999999999994,,"teppeki,target1900,systan,leap",3
autonomous,adjective,自動運転,自治の / 自主的な / 自律的な,自動運転 / 自治の、自主的な / 自律的な,0.35029999999999994,,"systan,passtan1,eiken1",3
benign,adjective,良性の,害のない / 有益な / 優しい,良性の、害のない / 有益な / 優しい,0.35029999999999994,,"teppeki,eiken1",3
chip,noun,小片,破片 / 欠けた箇所 / 集積回路,小片，破片 / 欠けた箇所 / 集積回路,0.35029999999999994,,target1900,3
class,noun,クラス,授業 / 階級 / 分類,クラス、授業 / 階級 / 分類,0.35029999999999994,,teppeki,3
clear up (～),phrase,解く,解明する / 片付ける / 晴れる,(誤解など)を解く、(問題など)を解明する、～片付ける、晴れる,0.35029999999999994,,passtan1,3
complement,noun,補完物,補足 / 補語 / 補うもの,（～の）補完物，補足（to） / （文法の）補語 / 補うもの,0.35029999999999994,,"target1900,systan",3
compress,verb,要約する,短縮する / 圧縮する / 圧縮して詰め込む,を要約する、を短縮する、を圧縮して詰め込む / を圧縮する,0.35029999999999994,,"passtan1,eiken1",3
controversial,adjective,物議を呼ぶ,論争を招く / 物議をかもす / 物議を醸す,物議を呼ぶ / 論争を招く，物議をかもす / 物議を醸す,0.35029999999999994,,"systan,leap,eiken1",3
costly,adjective,費用のかかる,高価な / 犠牲 / の大きな,費用のかかる、高価な、犠牲[損失、労力]の大きな,0.35029999999999994,,passtan1,3
diffuse,verb,分散する,拡散する / まき散らす / 広める,"～をまき散らす, 分散する / 拡散する / を広める",0.35029999999999994,,"teppeki,eiken1",3
direct,adjective,直接的な,指揮 / する / 向ける,直接的な ～を指揮［監督，演出］する （注意など）を向ける ～に道を教える / を案内する、を指揮する,0.35029999999999994,,"leap,passtan1",3
discharge,verb,放出する,排出する / 解放する / 退院させる,放出する / ～を排出する (職務，任地などから)～を解放する / を退院させる,0.35029999999999994,,"systan,leap,eiken1",3
division,noun,不和,分割 / 部門 / 仕切り,不和、分割、部門、仕切り,0.35029999999999994,,passtan1,3
downfall,noun,破滅,転落 / 大降り / 没落,破滅、転落、(雨・雪などの)大降り / 没落,0.35029999999999994,,"passtan1,eiken1",3
drill,noun,訓練,練習 / ドリル / 錐,訓練 / （反復）練習 / ドリル，錐,0.35029999999999994,,target1900,3
early,adverb,早く,初期に / 早い / 初期の,（時間，時期が）早く，初期に （予定より）早く 早い，初期の,0.35029999999999994,,leap,3
entity,noun,存在物,統一体 / 存在 / 独立体,存在物、統一体 / 存在 / 独立体,0.35029999999999994,,"teppeki,systan,eiken1",3
extrovert,noun,外向的な,社交的な / 外交的な人 / 外向的な人,外向的な / 社交的な / 外交的な人 / 外向的な人,0.35029999999999994,,"target1900,leap,eiken1",3
flap,verb,パタパタ動く,羽ばたく / はためかす / パタパタ動かす,パタパタ動く / 羽ばたく（≒ flutter） / をパタパタ動かす / をはためかす,0.35029999999999994,,"target1900,eiken1",3
for the time being,noun,差し当たり,しばらくの間 / 当分の間 / さしあたり,ここしばらくは / 差し当たり しばらくの間 / 当分の間(は)、さしあたり,0.35029999999999994,,"teppeki,sokujuku,passtan1",3
gear,noun,用具,器具 / 歯車 / ギア,用具（一式），器具 / 歯車 / ギア,0.35029999999999994,,target1900,3
get around (～),phrase,歩き回る,うまく避ける / 逃れる / あちこち動き回る,あちこち動き回る、歩き回る、～をうまく避ける、～を逃れる,0.35029999999999994,,passtan1,3
guard,noun,警備員,警備隊 / 監視 / 警戒,警備員 / 警備隊 / 監視，警戒,0.35029999999999994,,target1900,3
head off (～),phrase,阻止する,回避する / 出かける / 立ち去る,～を阻止する、～を回避する、出かける、立ち去る,0.35029999999999994,,passtan1,3
hover,verb,うろつく,さまよう / 止まる / 空中に停止する,（鳥などが）空中にとどまる うろつく，さまよう / (鳥・昆虫・ヘリコプターなどが)空中(の一点)に止まる / 空中に停止する,0.35029999999999994,,"leap,passtan1,eiken1",3
humid,adjective,湿った,湿気のある / 蒸し暑い / 湿気が多い,湿った / 湿気のある（≒ muggy 蒸し暑い） / 蒸し暑い / 湿気が多い,0.35029999999999994,,"teppeki,target1900,systan,leap",3
inclination,noun,意向,願望 / 好み / 気持ち,意向、願望、好み / 気持ち,0.35029999999999994,,"passtan1,eiken1",3
internship,noun,実務,研修 / 研修期間 / 実務研修,【米】 実務［医学］研修 / 研修期間 / 実務研修，医学研修,0.35029999999999994,,"target1900,leap",3
lead,verb,導く,引き起こす / 至る / 送る,～を(…へ)導く(to…) / (～を)引き起こす(to～) / （to ～）（～に）至る （a ～ life）（～な生活）を送る （A to do）A に～させる 鉛，（シャーペンなどの）芯,0.35029999999999994,,"teppeki,leap",3
literally,adverb,文字通り,文字どおりに / 文字どおり / まさしく,文字通り / 文字どおりに / 文字どおり、まさしく,0.35029999999999994,,"systan,leap,passtan1",3
media,noun,メディア,媒体 / マスメディア / マスコミ,メディア、媒体 / マスメディア、マスコミ,0.35029999999999994,,"teppeki,passtan1",3
mingle,verb,付き合う,仲間に入る / 混ざる / 混ぜる,付き合う、仲間に入る、混ざる / 混ぜる,0.35029999999999994,,"passtan1,eiken1",3
minute,noun,極めて小さい,微細な / 分 / ちょっとの間,極めて小さい、微細な / （時間の）分 （a ―）ちょっとの間 （―s）議事録 とても小さい，細かい （the ―）～するとすぐに,0.35029999999999994,,"teppeki,leap",3
model,noun,模範,モデル / 模型 / 型,模範 / モデル / 模型 / 型,0.35029999999999994,,target1900,3
motion,noun,動き,動作 / 運動 / 動議,動き，動作 / 運動 / 動議,0.35029999999999994,,target1900,3
notable,adjective,注目に値する,著名な / 注目すべき / 目立った,注目に値する / 著名な / 注目すべき / 目立った,0.35029999999999994,,"target1900,systan,eiken1",3
occupation,noun,職業,占領 / 占有 / 職業 可算,職業、占領 / 職業〈可算〉 占有，占領〈不可算〉,0.35029999999999994,,"systan,leap",3
penalty,noun,刑罰,罰 / 罰金 / ペナルティー,刑罰 / 罰金 / ペナルティー / 刑,0.35029999999999994,,"teppeki,target1900,systan",3
performance,noun,実行,業績 / 演技 / 演奏,"実行, 業績, 演技, 演奏",0.35029999999999994,,teppeki,3
premium,noun,保険料,プレミア / 景品 / 報奨金,保険料 / プレミア / 景品 / 報奨金,0.35029999999999994,,"target1900,eiken1",3
regardless,adverb,かまわない,無頓着な / 関係なく / 無関係に,（～に）かまわない，無頓着な（of） / 関係なく / （of ～）（～とは）無関係に,0.35029999999999994,,"target1900,systan,leap",3
route,noun,道,路線 / ルート / 手段,道（筋） / 路線，ルート / （～の）手段（to）,0.35029999999999994,,target1900,3
saving,noun,節約,倹約 / 預金 / 蓄え,節約、倹約、預金(額)、蓄え,0.35029999999999994,,passtan1,3
section,noun,部門,部分 / 地区 / 欄,部門 / 部分 / 地区 / 欄,0.35029999999999994,,target1900,3
senior,noun,上級の,先輩の / 最上級生 / 高齢者の,上級の、先輩の / （高校，大学の）最上級生 高齢者の （地位が）上位の,0.35029999999999994,,"systan,leap",3
skull,noun,頭骨,頭蓋骨 / 頭脳 / 頭蓋骨 可算,頭骨，頭蓋骨 / 頭脳 / 頭蓋骨〈可算〉,0.35029999999999994,,"target1900,leap",3
sober,adjective,しらふの,ありのままの / 酔っていない / 真面目な,しらふの / ありのままの / （酒に）酔っていない （人，習慣などが）真面目な,0.35029999999999994,,"teppeki,leap",3
statement,noun,声明,主張 / 明細書 / 記述,声明 / 主張 / 明細書 / 記述,0.35029999999999994,,"target1900,systan",3
swing,verb,揺らす,振る / 揺れる / さっと移る,を揺らす，振る / 揺れる / （行動に）さっと移る,0.35029999999999994,,target1900,3
synthesize,verb,総合する,合成する / 統合する / 合成して作り出す,～を総合する、合成する、合成して作り出す / を統合する,0.35029999999999994,,"teppeki,eiken1",3
tone,noun,口調,音色 / 雰囲気 / 色調,口調 / 音色 / 雰囲気 / 色調,0.35029999999999994,,target1900,3
uniform,noun,一様な,均一の / 制服 / 同一の,一様な、均一の / 制服 同一の，一定の,0.35029999999999994,,"teppeki,leap",3
uphold,verb,支持する,確認する / 維持する / 守る,を支持する、を確認する、を維持する / を守る,0.35029999999999994,,"passtan1,eiken1",3
utility,noun,公共事業,公共料金 / 実用性 / 公益事業,公共事業 / 公共料金 / 実用性 / （電気などの）公益事業,0.35029999999999994,,"target1900,eiken1",3
work out,phrase,解く,考え出す / うまくいく / トレーニングをする,～を解く、考え出す / うまくいく / トレーニングをする,0.35029999999999994,,teppeki,3
accuse A of B,phrase,したとして非難する,の罪で告発する / の罪で告訴する / の理由で非難する,AをBしたとして非難する AをBの罪で告発する / AをBの罪で告訴する、AをBの理由で非難する,0.35029999999999994,,"sokujuku,passtan1",2
adhere to ～,phrase,忠実に守る,固守する / 順守する / 固執する,（規則・主義など）を忠実に守る ～を固守する / (信念・規則など)を順守する、～に固執する,0.35029999999999994,,"sokujuku,passtan1",2
availability,noun,可能性,有用 / 性 / 有効性,(入手の)可能性、有用[有効]性 / 有効性,0.35029999999999994,,"passtan1,eiken1",2
be subject to ～,noun,かかりやすい,受けやすい / 影響を受けやすい / 従わなければならない,～に影響を受けやすい ～に従わなければならない / (病気など)にかかりやすい、(影響など)を受けやすい,0.35029999999999994,,"sokujuku,passtan1",2
cancer,noun,癌,ガン / ん / かに座,癌 / ガン / がん （C―）かに座,0.35029999999999994,,"teppeki,systan,leap",2
citizenship,noun,市民権,公民権 / 市民 / あること,市民権、公民権、市民[国民]であること,0.35029999999999994,,passtan1,2
climatic,adjective,気候,の / 風土の / 気候の,気候(上)の、風土の / 気候の,0.35029999999999994,,"passtan1,eiken1",2
diploma,noun,学位,卒業 / 証書 / 証明書,(大学の)学位 / 卒業[修了]証書、(学位・資格の)証明書,0.35029999999999994,,"teppeki,passtan1",2
empirical,adjective,経験的な,経験主義の / 経験 / よる,経験的な / 経験主義の / 経験［実験］による,0.35029999999999994,,"target1900,leap",2
empty,adjective,の,空の / 中身のない / 空にする,からの / 空の，中身のない ～を空にする,0.35029999999999994,,"systan,leap",2
ethical,adjective,倫理,の / 道徳の / 道徳にかなった,倫理(上)の、道徳の / 道徳にかなった,0.35029999999999994,,"passtan1,eiken1",2
fair,adjective,公正な,公平な / 品評会 / 見本市,公正な，公平な 品評会，見本市,0.35029999999999994,,leap,2
hand down ～,phrase,手渡す,後世に残す / 伝える / 言い渡す,～を手渡す ～を後世に残す / (伝統・慣習など)を(後世に)伝える、(判決など)を言い渡す,0.35029999999999994,,"sokujuku,passtan1",2
in a row,noun,続けて,一列に / 連続して / 連続で,続けて / 一列に 連続して / 連続で,0.35029999999999994,,"teppeki,sokujuku,passtan1",2
injure,verb,怪我をさせる,傷つける / 痛める / けがさせる,～に怪我をさせる / ～を傷つける / ～を痛める ～をけがさせる,0.35029999999999994,,"teppeki,systan,leap",2
join,verb,もにする,参加する / 加わる / つなぐ,（クラブ，団体など）に加わる ～をつなぐ （食事などを）～とともにする （議論，活動などに）参加する,0.35029999999999994,,leap,2
keep track of ～,phrase,注意している,の跡をたどる / の記録をつける / の動向・経緯を追う,～の動向・経緯を追う ～の記録をつける / (人の動向・情勢など)に注意している、～の跡をたどる,0.35029999999999994,,"sokujuku,passtan1",2
let down ～,phrase,っかりさせる,失望させる / 裏切る / の期待を裏切る,～の期待を裏切る ～をがっかりさせる / ～を失望させる、～(の期待・信頼)を裏切る,0.35029999999999994,,"sokujuku,passtan1",2
outfit,noun,衣装一式,装備 / 一式 / 組織,衣装一式 / 装備［道具］一式 / 組織,0.35029999999999994,,target1900,2
seasonal,noun,季節の,季節的な / 季節 / の,季節の，季節的な / 季節(ごと)の,0.35029999999999994,,"target1900,passtan1",2
take up ～,phrase,占める,始める / して始める / 取り上げる,～（割合など）を占める ～（仕事など）を始める / ～を趣味[職業・学問]として始める、(問題など)を取り上げる,0.35029999999999994,,"sokujuku,passtan1",2
thirst,noun,喉の渇き,渇き / 渇望 / のどの渇き,喉の渇き / （のどの）渇き / （～に対する）渇望（for）,0.35029999999999994,,"teppeki,target1900,eiken1",2
total,adjective,完全な,合計の：合計 / 全体の / まったくの,完全な / 合計の：合計 / 全体の （a ―）まったくの 合計,0.35029999999999994,,"teppeki,leap",2
vicious,adjective,悪意,のある / 乱暴な / 残酷な,悪意[敵意]のある、乱暴な / 残酷な,0.35029999999999994,,"passtan1,eiken1",2
vision,noun,視力,視野 / 未来像 / 先見の明,視力，視野 未来像 未来を見通す力，先見の明,0.35029999999999994,,leap,2
bottom,noun,底,一番下 / 最下位 / 尻,底 一番下，最下位 尻,0.35029999999999994,,leap,1
commencement,noun,開始,米 / 卒業式 / 学位授与式,開始 〈米〉（高校・大学の）卒業式，学位授与式,0.35029999999999994,,leap,1
communist,adjective,共産主義の,共産主義 / の / 共産主義者,共産主義の / 共産主義(者)の 共産主義者,0.35029999999999994,,"systan,leap",1
concerned,adjective,重視している,扱っている / 懸念している / 関心を持っている,（with［about］～）（～に）関心を持っている，重視している （with ～）（～を）扱っている （about［for］～）（～を）懸念している,0.35029999999999994,,leap,1
direction,noun,方向,方角 / 道順 / 指示,方向，方角 （―s）道順 指示,0.35029999999999994,,leap,1
in turn,noun,それが今度は,結果として / 順番に / 交替で,それが今度は / 結果として 順番に 交替で,0.35029999999999994,,"teppeki,sokujuku",1
line,noun,列,行 / 線 / 電話回線,列 行，線 電話回線 セリフ （―up）並ぶ,0.35029999999999994,,leap,1
singular,adjective,単数の,比類なき / 奇妙な / 唯一の,単数の （褒めて）比類なき 奇妙な / 唯一の,0.35029999999999994,,"leap,eiken1",1
smooth,adjective,滑らかな,順調な / のばす / なでつける,滑らかな 順調な （服のしわ）をのばす，（髪）をなでつける,0.35029999999999994,,leap,1
so far,noun,これ,のところは / 今 / のところ,これ(それ)までのところは / 今（まで）のところ,0.35029999999999994,,"teppeki,sokujuku",1
time,noun,時間,回数 / 倍 / 情勢,（漠然とした）時間 （ある長さの）時間 回数 倍 （―s）情勢，時代 （接続詞的に（the)next ―）次に～するとき,0.35029999999999994,,leap,1
used,other,慣れている,中古の / 以前は だった / よく したものだ,（to ～）以前は～だった，よく～したものだ （be ― to doing）（～することに）慣れている 中古の,0.35029999999999994,,leap,1
even,adverb,さえも,さらに / 偶数の / 均一の,さえも （比較級の前で）さらに 偶数の 均一の （数字が）ちょうどの,0.35029999999999994,,leap,0
first,adjective,第の,初めて / まず第に / 最初のうちは,第の （for the ― time）初めて 初めて （文頭で）まず第に（＝firstly)（at ―）最初のうちは,0.35029999999999994,,leap,0
pass,verb,通り過ぎる,抜く / 受かる / 渡す,～を通り過ぎる ～を抜く （試験）に受かる （（人）A）（人）に（A を）渡す （時が）過ぎる 通行証,0.35029999999999994,,leap,0
way,noun,方法,点 / 道 / はるかに,方法 （in ～ way）（～の）点（で)道 はるかに,0.35029999999999994,,leap,0
at length,noun,長々と,ついには / 詳細に / ついに,長々と、詳細にわたって / ついには / 詳細に ついに,0.3505999999999999,,"teppeki,sokujuku",3
rubbish,noun,ゴミ,ごみ / くだらないこと / つまらないもの,ゴミ、くだらないこと / 【英】 ごみ（≒ 【米】garbage） / つまらないもの,0.3505999999999999,,"teppeki,target1900",3
scholarship,noun,学問,奨学金 / 学識 / 奨学金 可算,奨学金〈可算〉 学問、（人文科学の）学識〈不可算〉 / 奨学金、学識,0.3505999999999999,,"leap,passtan1",3
turn out,phrase,判読する,集まる / あることが分かる / あることがわかる,～であることが分かる、判読する / であることがわかる、集まる,0.3505999999999999,,"teppeki,passtan1",3
holistic,adjective,全体論の,全体 / 的な / 全体論的な,全体論の / （医療が）ホリスティックの / 全体（論）的な,0.3505999999999999,,"target1900,leap,eiken1",2
apparently,adverb,一見,聞いた / ころでは / どうやら,一見 / 見たところでは どうやら～らしい / (真偽のほどはともかく)聞いた[見た]ところでは、どうやら,0.3509,,"systan,leap,passtan1",3
relay,verb,伝達する,中継する / 取り次ぐ / 中継で送る,を伝達する、を取り次ぐ、を中継で送る / 中継する,0.3509,,"passtan1,eiken1",3
feed,verb,する,常食とする / 与える / 餌を食べる,～に餌・食物を与える / に食べ物［乳］を与える / に（～を）供給［補給］する（with） / 餌を食べる / ～にエサをやる / ～にえさを与える （子どもなど）を養う （on ～）（～を）常食とする,0.3514999999999999,,"teppeki,target1900,systan,leap",5
at stake,noun,問題となって,危機に瀕して / 危険にさらされて,危険にさらされて / 問題となって / 危機に瀕して,0.40029999999999993,,"teppeki,sokujuku",2
coordinator,noun,取りまとめ役,責任者 / コーディネーター,コーディネーター、取りまとめ役、責任者,0.40029999999999993,,passtan1,2
insane,adjective,正気でない,ばかげた / 正気を失っている,正気を失っている / 正気でない / ばかげた,0.40029999999999993,,"systan,leap,eiken1",2
obsessed,adjective,取りつかれて,頭が一杯で / りつかれている,とりつかれている / （with［by］ ～）（～に）取りつかれて，頭が一杯で,0.40029999999999993,,"systan,leap",2
obsession,noun,妄想,強迫観念 / 取りつかれること,（考えなどに）取りつかれること / 妄想 / 強迫観念,0.40029999999999993,,target1900,2
outcast,noun,浮浪者,追放された人 / 見捨てられた人,見捨てられた人、浮浪者 / 追放された人,0.40029999999999993,,"passtan1,eiken1",2
platform,noun,演壇,舞台 / プラットフォーム,プラットフォーム / 演壇 / 舞台,0.40029999999999993,,target1900,2
pump,verb,くみ出す,注ぎ込む / ポンプで送り込む,（液体・気体）をポンプで送り込む / をくみ出す / を注ぎ込む,0.40029999999999993,,target1900,2
recognition,noun,認めること,認識 / それと分かること,(人・物が)それと分かること、認めること、認識,0.40029999999999993,,passtan1,2
restless,noun,せわしない,落ち着かない / 落ち着きがない,落ち着きがない、せわしない / 落ち着かない,0.40029999999999993,,"teppeki,systan",2
seemingly,adverb,一見,うわべは / 見たところでは,見たところでは / 一見 / うわべは,0.40029999999999993,,"teppeki,systan,eiken1",2
weigh on ～,phrase,圧迫する,苦しめる / 重くのしかかる,～に重くのしかかる、～を圧迫する、～を苦しめる,0.40029999999999993,,passtan1,2
clerk,noun,事務員,社員 / 米 店員,〈米〉店員 事務員，社員,0.40029999999999993,,leap,1
digital,noun,デジタル,表示の / デジタル方式の,デジタル方式の / デジタル［数字］表示の,0.40029999999999993,,target1900,1
get away with ～,phrase,持ち逃げする,うまくやる / 罰を受けずにやってのける,～を罰を受けずにやってのける ～を持ち逃げする / ～を(罰などを受けずに)うまくやる,0.40029999999999993,,"sokujuku,passtan1",1
go on to do,phrase,次に...する,続けて...する / さらに続けて する,さらに続けて～する / 次に...する 続けて...する,0.40029999999999993,,"teppeki,sokujuku",1
blow up (～),phrase,爆発する,爆破する / 感情をぶつける,（怒りなど）感情をぶつける 爆発する ～を爆破する,0.40029999999999993,,sokujuku,0
approach,noun,方法,取り組み方 / 接近,"～に接近する, 話しかける / に近づく / に取り組む / ～に接近する / ～に取り組む / 方法 / （to ～）（～への）取り組み方，接近 ～に取り組む，接近する",0.4003,,"teppeki,target1900,systan,leap",9
remark,noun,意見,論評 / 発言,"意見, 論評 / (意見を)述べる / と述べる / （～について）意見を述べる（on / upon） / 述べる / 発言 ～と発言する / ～と述べる",0.4003,,"teppeki,target1900,systan,leap,passtan1",8
subordinate,verb,従属している,従属させる / 下位に置く,従属している、下位の / 二次的な 従属するもの、下位のもの ～を従属させる / （～より）下位の（to） / 副次的な / 部下 / 部下 下位の / を下位に置く,0.4003,,"teppeki,target1900,systan,leap,eiken1",8
control,verb,抑制する,支配する / 制御する,～を抑制する、支配する、制御する / 抑制、支配、制御,0.4003,,teppeki,5
glimpse,verb,ちらりと見る,垣間見る / ちらりと見える,（偶然）ちらりと見る、垣間見る / ちらりと見えること / ちらり / ～がちらりと見える ちらりと見えること,0.4003,,"teppeki,target1900,systan,leap",4
merely,adverb,すぎない,単なる / ただの,単に / （主に名詞の前で）～にすぎない （動詞などの前で）単に / 単なる、ただの、単に,0.4003,,"systan,leap,passtan1",4
setting,noun,環境,設定 / 舞台,環境，状況 （小説，劇，機械などの）設定，舞台（ともに）,0.4003,,leap,4
sort,noun,種類,種 / 多少,種類 / ～を分類する / を（～に）分類する（into） / を（～から）えり分ける（from） / 種（類)（副詞的に）（― of）多少 ～を分類する,0.4003,,"teppeki,target1900,leap",4
addict,verb,中毒にさせる,中毒になる / 凝る,～を中毒にさせる / 麻薬中毒者 / 〔受身形で〕（～の）中毒になる（to） / （～に）凝る,0.4003,,"teppeki,target1900",3
