id	word	answerJa	family	pos	unit	order
active	active	アクティブな	act	adjective	core	77
aesthetics	aesthetics	美学	aesthetics	noun	core	78
accelerator	accelerator	アクセル	accelerate	noun	core	79
activity	activity	活動	act	noun	core	80
affect	affect	影響を与える	affect	verb	core	81
access	access	アクセス	access	noun	core	82
actual	actual	実際の	actual	adjective	core	83
affection	affection	愛情	affect	noun	core	84
accident	accident	事故	accident	adjective	core	85
actually	actually	実は	actual	adverb	core	86
affectionate	affectionate	愛情深い	affectionate	adjective	core	87
accidental	accidental	偶然の	accident	adjective	core	88
acute	acute	急性	acute	noun	core	89
affluence	affluence	豊かさ	affluence	noun	core	90
accidentally	accidentally	偶然	accident	adverb	core	91
adapt	adapt	適応する	adapt	verb	core	92
affluent	affluent	裕福な	affluent	adjective	core	93
accommodate	accommodate	収容する	accommodate	verb	core	94
adaptable	adaptable	順応性のある	adapt	adjective	core	95
afford	afford	余裕がある	afford	verb	core	96
accommodating	accommodating	親切な	accommodating	adjective	core	97
adaptation	adaptation	適応	adaptation	noun	core	98
affordable	affordable	手頃な価格の	afford	adjective	core	99
add	add	追加する	add	verb	core	100
agency	agency	代理店	agency	noun	core	101
accommodation	accommodation	宿泊施設	accommodate	noun	core	102
addict	addict	中毒者	addict	noun	core	103
agent	agent	エージェント	agent	adjective	core	104
addiction	addiction	依存症	addict	noun	core	105
aggression	aggression	攻撃性	aggression	noun	core	106
accompaniment	accompaniment	伴奏	accompaniment	noun	core	107
addition	addition	追加	addition	noun	core	108
aggressive	aggressive	攻撃的な	aggressive	adjective	core	109
accompany	accompany	同行する	accompany	verb	core	110
additional	additional	追加の	addition	adjective	core	111
agonize	agonize	苦しむ	agonize	verb	core	112
accomplish	accomplish	達成する	accomplish	verb	core	113
address	address	住所	address	noun	core	114
agony	agony	苦しみ	agony	noun	core	115
accomplishment	accomplishment	達成	accomplish	noun	core	116
adequacy	adequacy	十分性	adequacy	noun	core	117
agree	agree	同意する	agree	verb	core	118
adequate	adequate	適切な	adequate	adjective	core	119
agreeable	agreeable	同意できる	agree	adjective	core	120
accord	accord	合意	accord	noun	core	121
adjust	adjust	調整する	adjust	verb	core	122
agreement	agreement	合意	agree	noun	core	123
agricultural	agricultural	農業用	agriculture	adjective	core	124
agriculture	agriculture	農業	agriculture	noun	core	125
annoyance	annoyance	迷惑	annoy	noun	core	126
annual	annual	毎年恒例の	annual	adjective	core	127
arbitrary	arbitrary	任意の	arbitrary	adjective	core	128
annually	annually	毎年	annual	adverb	core	129
archaeologist	archaeologist	考古学者	archaeologist	noun	core	130
aid	aid	援助	aid	noun	core	131
aim	aim	目的	aim	adjective	core	132
anonymity	anonymity	匿名性	anonymous	noun	core	133
archaeology	archaeology	考古学	archaeology	noun	core	134
anonymous	anonymous	匿名	anonymous	adjective	core	135
architect	architect	建築家	architect	noun	core	136
aisle	aisle	通路	aisle	noun	core	137
anthropologist	anthropologist	人類学者	anthropologist	noun	core	138
architectural	architectural	建築的	architecture	adjective	core	139
alarm	alarm	アラーム	alarm	other	core	140
anthropology	anthropology	人類学	anthropology	other	core	141
architecture	architecture	建築	architecture	other	core	142
alert	alert	警告	alert	other	core	143
anticipate	anticipate	予想する	anticipate	verb	core	144
arctic	arctic	北極	arctic	adjective	core	145
alien	alien	外国人	alien	verb	core	146
alienate	alienate	疎外する	alienate	verb	core	147
anticipation	anticipation	期待	anticipate	noun	core	148
argue	argue	議論する	argue	verb	core	149
argument	argument	引数	argument	noun	core	150
all	all	全て	all	other	core	151
anticipatory	anticipatory	予想的な	anticipate	noun	core	152
arise	arise	起きる	arise	verb	core	153
allege	allege	主張する	allege	verb	core	154
antique	antique	アンティーク	antique	other	core	155
allegedly	allegedly	伝えられるところによると	allegedly	adverb	core	156
antiquity	antiquity	古代	antique	noun	core	157
aristocracy	aristocracy	貴族	aristocracy	noun	core	158
aristocrat	aristocrat	貴族	aristocrat	other	core	159
allow	allow	許可する	allow	verb	core	160
antithesis	antithesis	アンチテーゼ	antithesis	other	core	161
aristocratic	aristocratic	貴族的な	aristocratic	adjective	core	162
allowance	allowance	手当	allow	noun	core	163
anxiety	anxiety	不安	anxiety	noun	core	164
anxious	anxious	不安な	anxious	adjective	core	165
arithmetic	arithmetic	算数	arithmetic	adjective	core	166
alter	alter	変更する	alter	verb	core	167
apathetic	apathetic	無関心な	apathetic	adjective	core	168
arrange	arrange	手配する	arrange	verb	core	169
alteration	alteration	改変	alteration	noun	core	170
apathy	apathy	無関心	apathy	other	core	171
arrangement	arrangement	アレンジメント	arrange	noun	core	172
alternate	alternate	代替	alternate	other	core	173
alternately	alternately	交互に	alternate	adverb	core	174
apologize	apologize	謝る	apologize	verb	core	175
arrest	arrest	逮捕	arrest	other	core	176
altitude	altitude	高度	altitude	noun	core	177
apology	apology	謝罪	apology	noun	core	178
article	article	記事	article	noun	core	179
amateur	amateur	アマチュア	amateur	noun	core	180
apparatus	apparatus	装置	apparatus	noun	core	181
artificial	artificial	人工的な	artificial	adjective	core	182
amaze	amaze	驚かせる	amaze	verb	core	183
apparent	apparent	明らかな	apparent	adjective	core	184
artistic	artistic	芸術的	artistic	adjective	core	185
amazing	amazing	すごい	amazing	verb	core	186
apparently	apparently	どうやら	apparent	adverb	core	187
artistry	artistry	芸術性	artistry	noun	core	188
ambassador	ambassador	大使	ambassador	noun	core	189
appeal	appeal	控訴	appeal	adjective	core	190
ascend	ascend	昇る	ascend	verb	core	191
ambiguity	ambiguity	曖昧さ	ambiguous	noun	core	192
appealing	appealing	魅力的な	appealing	adjective	core	193
ascent	ascent	上昇	ascent	adjective	core	194
ambiguous	ambiguous	曖昧な	ambiguous	adjective	core	195
appear	appear	現れる	appear	verb	core	196
ascribe	ascribe	帰属させる	ascribe	verb	core	197
ambition	ambition	野心	ambition	noun	core	198
appearance	appearance	外観	appear	noun	core	199
ashamed	ashamed	恥ずかしい	ashamed	verb	core	200
ambitious	ambitious	野心的な	ambitious	adjective	core	201
appellate	appellate	控訴する	appellate	verb	core	202
aspect	aspect	アスペクト	aspect	noun	core	203
amend	amend	修正する	amend	verb	core	204
appetite	appetite	食欲	appetite	noun	core	205
aspiration	aspiration	願望	aspire	noun	core	206
ample	ample	十分な	ample	adjective	core	207
appetizer	appetizer	前菜	appetizer	noun	core	208
aspire	aspire	熱望する	aspire	verb	core	209
amplify	amplify	増幅する	amplify	verb	core	210
applaud	applaud	拍手する	applaud	verb	core	211
assault	assault	暴行	assault	noun	core	212
amuse	amuse	楽しませる	amuse	verb	core	213
applause	applause	拍手	applause	noun	core	214
assemble	assemble	組み立てる	assemble	verb	core	215
amusement	amusement	娯楽	amuse	noun	core	216
appliance	appliance	アプライアンス	appliance	noun	core	217
assembly	assembly	アセンブリ	assembly	adverb	core	218
amusing	amusing	面白い	amusing	verb	core	219
applicant	applicant	申請者	applicant	adjective	core	220
assert	assert	主張する	assert	verb	core	221
analyze	analyze	分析する	analyze	verb	core	222
application	application	アプリケーション	application	noun	core	223
assertion	assertion	アサーション	assert	noun	core	224
analogous	analogous	類似した	analogous	adjective	core	225
apply	apply	適用する	apply	adverb	core	226
assess	assess	評価する	assess	verb	core	227
assessment	assessment	評価	assess	noun	core	228
analogy	analogy	類推	analogy	other	core	229
appoint	appoint	任命する	appoint	verb	core	230
asset	asset	資産	asset	other	core	231
analysis	analysis	分析	analysis	other	core	232
appointment	appointment	約束	appoint	noun	core	233
assign	assign	割り当てる	assign	verb	core	234
analyst	analyst	アナリスト	analyst	other	core	235
appreciate	appreciate	感謝する	appreciate	verb	core	236
assignee	assignee	譲受人	assignee	noun	core	237
ancestor	ancestor	祖先	ancestor	other	core	238
appreciation	appreciation	感謝	appreciate	noun	core	239
ancestral	ancestral	祖先の	ancestral	adjective	core	240
approach	approach	アプローチ	approach	other	core	241
assignment	assignment	割り当て	assign	noun	core	242
assist	assist	助ける	assist	noun	core	243
ancient	ancient	古代の	ancient	adjective	core	244
appropriate	appropriate	適切な	appropriate	adjective	core	245
assistance	assistance	援助	assist	noun	core	246
anecdotal	anecdotal	逸話	anecdote	adjective	core	247
approval	approval	承認	approve	adjective	core	248
assistant	assistant	アシスタント	assist	adjective	core	249
anecdote	anecdote	逸話	anecdote	other	core	250
approve	approve	承認する	approve	verb	core	251
associate	associate	アソシエイト	associate	other	core	252
anguish	anguish	苦悩	anguish	adjective	core	253
approximate	approximate	おおよその	approximate	adjective	core	254
association	association	協会	associate	noun	core	255
anniversary	anniversary	記念日	anniversary	adjective	core	256
approximately	approximately	およそ	approximate	adverb	core	257
assume	assume	仮定する	assume	verb	core	258
annoy	annoy	イライラさせる	annoy	verb	core	259
arbitrarily	arbitrarily	恣意的に	arbitrarily	adverb	core	260
blank	blank	空白	blank	other	core	261
assumption	assumption	仮定	assumption	noun	core	262
assurance	assurance	保証	assure	noun	core	263
aware	aware	気づいている	aware	verb	core	264
awareness	awareness	意識	aware	noun	core	265
blankly	blankly	ぼんやりと	blank	adverb	core	266
assure	assure	保証します	assure	verb	core	267
awe	awe	畏怖の念	awe	noun	core	268
blaze	blaze	燃える	blaze	verb	core	269
bleed	bleed	出血する	bleed	verb	core	270
asteroid	asteroid	小惑星	asteroid	noun	core	271
awful	awful	ひどい	awful	adjective	core	272
blend	blend	ブレンド	blend	noun	core	273
astonish	astonish	驚くべき	astonish	adjective	core	274
awfully	awfully	ひどく	awful	adverb	core	275
bless	bless	祝福する	bless	verb	core	276
astonishing	astonishing	驚くべき	astonishing	other	core	277
awkward	awkward	厄介な	awkward	adverb	core	278
blessing	blessing	祝福	blessing	other	core	279
astonishment	astonishment	驚き	astonish	noun	core	280
awkwardly	awkwardly	ぎこちなく	awkward	adverb	core	281
blood	blood	血	blood	other	core	282
astray	astray	迷った	astray	other	core	283
bloom	bloom	咲く	bloom	verb	core	284
astronomer	astronomer	天文学者	astronomer	noun	core	285
astronomical	astronomical	天文学的な	astronomical	adjective	core	286
ban	ban	禁止	ban	other	core	287
blossom	blossom	花	blossom	other	core	288
astronomy	astronomy	天文学	astronomy	other	core	289
bankrupt	bankrupt	破産した	bankrupt	other	core	290
boast	boast	自慢する	boast	verb	core	291
atmosphere	atmosphere	雰囲気	atmosphere	other	core	292
atmospheric	atmospheric	大気中の	atmospheric	adjective	core	293
bare	bare	裸の	bare	adjective	core	294
bargain	bargain	バーゲン	bargain	other	core	295
bold	bold	大胆な	bold	adjective	core	296
boldly	boldly	大胆に	bold	adverb	core	297
attach	attach	付ける	attach	verb	core	298
bargaining	bargaining	交渉する	bargaining	verb	core	299
boldness	boldness	大胆さ	bold	noun	core	300
attachment	attachment	アタッチメント	attach	noun	core	301
barrier	barrier	バリア	barrier	other	core	302
bond	bond	絆	bond	other	core	303
attain	attain	達成する	attain	verb	core	304
barrier-free	barrier-free	バリアフリー	barrier-free	adjective	core	305
boost	boost	ブースト	boost	other	core	306
attainment	attainment	達成	attain	noun	core	307
basin	basin	盆地	basin	other	core	308
booster	booster	ブースター	boost	other	core	309
attempt	attempt	試みる	attempt	verb	core	310
bathe	bathe	入浴する	bathe	verb	core	311
bore	bore	ボア	bore	noun	core	312
attend	attend	出席する	attend	verb	core	313
bathing	bathing	入浴	bathing	verb	core	314
bored	bored	退屈	bored	verb	core	315
attendance	attendance	出席	attend	noun	core	316
bear	bear	クマ	bear	noun	core	317
boredom	boredom	退屈	boredom	noun	core	318
attention	attention	注意	attention	noun	core	319
beat	beat	ビート	beat	noun	core	320
boring	boring	退屈な	boring	adjective	core	321
attentive	attentive	気配りのある	attentive	adjective	core	322
beg	beg	懇願する	beg	verb	core	323
botanical	botanical	植物の	botanical	adjective	core	324
attitude	attitude	態度	attitude	other	core	325
behave	behave	振る舞う	behave	verb	core	326
botany	botany	植物学	botany	other	core	327
attorney	attorney	弁護士	attorney	other	core	328
behavior	behavior	行動	behavior	other	core	329
both	both	両方	both	other	core	330
attract	attract	引き寄せる	attract	verb	core	331
behavioral	behavioral	行動的な	behavior	adjective	core	332
bother	bother	迷惑	both	other	core	333
attraction	attraction	アトラクション	attract	noun	core	334
bend	bend	曲げる	bend	verb	core	335
bothersome	bothersome	面倒な	bothersome	adjective	core	336
attractive	attractive	魅力的な	attract	adjective	core	337
beneficial	beneficial	有益な	beneficial	adjective	core	338
bounce	bounce	跳ねる	bounce	verb	core	339
attribute	attribute	属性	attribute	other	core	340
benefit	benefit	利益	benefit	other	core	341
bound	bound	縛られた	bound	other	core	342
attribution	attribution	帰属	attribute	noun	core	343
bet	bet	賭ける	bet	verb	core	344
boundary	boundary	境界線	bound	adjective	core	345
audience	audience	観客	audience	noun	core	346
betray	betray	裏切る	betray	verb	core	347
bow	bow	弓	bow	other	core	348
authentic	authentic	本物の	authentic	adjective	core	349
betrayal	betrayal	裏切り	betray	adjective	core	350
brave	brave	勇敢な	brave	adjective	core	351
authenticity	authenticity	信憑性	authentic	noun	core	352
beverage	beverage	飲み物	beverage	noun	core	353
bravery	bravery	勇気	bravery	noun	core	354
author	author	著者	author	noun	core	355
bias	bias	偏見	bias	other	core	356
breakdown	breakdown	内訳	breakdown	other	core	357
authoritative	authoritative	権威ある	authoritative	adjective	core	358
bilingual	bilingual	バイリンガル	bilingual	adjective	core	359
breakthrough	breakthrough	画期的な	breakthrough	adjective	core	360
authority	authority	権威	author	noun	core	361
bill	bill	請求書	bill	other	core	362
breath	breath	息	breath	other	core	363
authorize	authorize	許可する	author	verb	core	364
bind	bind	バインド	bind	noun	core	365
breathe	breathe	息をする	breathe	verb	core	366
autobiography	autobiography	自伝	autobiography	noun	core	367
biodiversity	biodiversity	生物多様性	biodiversity	noun	core	368
breathing	breathing	呼吸	breathing	verb	core	369
availability	availability	可用性	availability	noun	core	370
biographical	biographical	伝記	biographical	adjective	core	371
breed	breed	品種	breed	noun	core	372
available	available	利用可能	available	adjective	core	373
biography	biography	伝記	biography	other	core	374
bribe	bribe	賄賂	bribe	other	core	375
avenge	avenge	復讐する	avenge	verb	core	376
biological	biological	生物学的	biological	adjective	core	377
avian	avian	鳥類	avian	other	core	378
biologist	biologist	生物学者	biologist	noun	core	379
bribery	bribery	贈収賄	bribery	noun	core	380
brief	brief	簡単な	brief	adjective	core	381
aviation	aviation	航空	aviation	noun	core	382
biology	biology	生物学	biology	other	core	383
avoid	avoid	避ける	avoid	verb	core	384
bitter	bitter	苦い	bitter	other	core	385
briefing	briefing	説明会	briefing	other	core	386
avoidance	avoidance	回避	avoid	noun	core	387
bitterly	bitterly	ひどく	bitter	adverb	core	388
briefly	briefly	簡単に	brief	adverb	core	389
await	await	待つ	await	verb	core	390
blade	blade	刃	blade	other	core	391
brilliance	brilliance	輝き	brilliance	noun	core	392
award	award	賞を受賞	award	adverb	core	393
blame	blame	責める	blame	verb	core	394
brilliant	brilliant	素晴らしい	brilliant	adjective	core	395
bud	bud	つぼみ	bud	other	core	396
budding	budding	芽吹く	budding	verb	core	397
cause	cause	原因	cause	other	core	398
budget	budget	予算	budget	other	core	399
caution	caution	注意	caution	noun	core	400
civilian	civilian	民間人	civilian	noun	core	401
bug	bug	バグ	bug	other	core	402
cautious	cautious	慎重な	cautious	adjective	core	403
civility	civility	礼儀正しさ	civil	noun	core	404
bulk	bulk	バルク	bulk	other	core	405
cavity	cavity	空洞	cavity	noun	core	406
civilization	civilization	文明	civil	noun	core	407
bulky	bulky	かさばる	bulky	verb	core	408
cease	cease	やめる	cease	verb	core	409
civilize	civilize	文明化する	civil	verb	core	410
bullet	bullet	弾丸	bullet	other	core	411
ceaseless	ceaseless	絶え間なく	ceaseless	adjective	core	412
claim	claim	主張する	claim	verb	core	413
bully	bully	いじめっ子	bully	adverb	core	414
celebrate	celebrate	祝う	celebrate	verb	core	415
clap	clap	拍手する	clap	verb	core	416
bullying	bullying	いじめ	bullying	noun	core	417
celebration	celebration	お祝い	celebrate	noun	core	418
clarification	clarification	明確化	clarification	noun	core	419
bump	bump	バンプ	bump	noun	core	420
cell	cell	セル	cell	noun	core	421
clarity	clarity	明瞭さ	clarity	noun	core	422
bumper	bumper	バンパー	bump	noun	core	423
cellular	cellular	セルラー	cellular	noun	core	424
classification	classification	分類	classification	noun	core	425
bumpy	bumpy	でこぼこした	bumpy	adjective	core	426
censor	censor	検閲官	censor	noun	core	427
classified	classified	機密扱い	classified	adjective	core	428
burden	burden	負担	burden	verb	core	429
censorship	censorship	検閲	censorship	noun	core	430
classify	classify	分類する	classify	verb	core	431
bureau	bureau	局	bureau	other	core	432
census	census	国勢調査	census	other	core	433
clay	clay	粘土	clay	other	core	434
bureaucracy	bureaucracy	官僚主義	bureaucracy	noun	core	435
cereal	cereal	シリアル	cereal	adjective	core	436
client	client	クライアント	client	adjective	core	437
burial	burial	埋葬	bury	adjective	core	438
certain	certain	確かな	certain	adjective	core	439
cling	cling	しがみつく	cling	verb	core	440
burst	burst	バースト	burst	other	core	441
certainly	certainly	確かに	certain	adverb	core	442
clog	clog	詰まる	clog	verb	core	443
bury	bury	埋める	bury	verb	core	444
certainty	certainty	確実性	certainty	noun	core	445
clue	clue	手がかり	clue	other	core	446
clumsy	clumsy	不器用な	clumsy	adjective	core	447
certify	certify	証明する	certify	verb	core	448
certificate	certificate	証明書	certificate	other	core	449
cluster	cluster	クラスター	cluster	other	core	450
code	code	コード	code	other	core	451
cabinet	cabinet	キャビネット	cabinet	other	core	452
challenge	challenge	挑戦	challenge	other	core	453
calculate	calculate	計算する	calculate	verb	core	454
challenging	challenging	挑戦的な	challenging	adjective	core	455
coerce	coerce	強制する	coerce	verb	core	456
calculation	calculation	計算	calculate	noun	core	457
chaos	chaos	混沌	chaos	other	core	458
coercion	coercion	強制	coercion	other	core	459
cognition	cognition	認知	cognition	noun	core	460
calculator	calculator	電卓	calculate	other	core	461
chaotic	chaotic	混沌とした	chaotic	adjective	core	462
cognitive	cognitive	認知的	cognitive	adjective	core	463
campaign	campaign	キャンペーン	campaign	other	core	464
character	character	キャラクター	character	other	core	465
cohesion	cohesion	凝集	cohesion	noun	core	466
candidacy	candidacy	立候補	candidacy	noun	core	467
characteristic	characteristic	特徴的な	characteristic	adjective	core	468
cohesive	cohesive	凝集性のある	cohesive	adjective	core	469
candidate	candidate	候補者	candidate	noun	core	470
charge	charge	充電する	charge	verb	core	471
coincide	coincide	一致する	coincide	verb	core	472
capability	capability	能力	capability	noun	core	473
charm	charm	魅力	charm	noun	core	474
coincidence	coincidence	偶然	coincide	noun	core	475
capable	capable	有能な	capable	adjective	core	476
charming	charming	魅力的な	charming	adjective	core	477
collapse	collapse	崩壊する	collapse	verb	core	478
capacity	capacity	容量	capacity	noun	core	479
chase	chase	追いかける	chase	verb	core	480
colleague	colleague	同僚	colleague	noun	core	481
capital	capital	資本金	capital	adjective	core	482
cheat	cheat	不正行為	cheat	other	core	483
collective	collective	集団的	collective	adjective	core	484
capitalism	capitalism	資本主義	capital	noun	core	485
chemical	chemical	化学	chemical	adjective	core	486
collectively	collectively	集合的に	collective	adverb	core	487
capitalist	capitalist	資本家	capital	noun	core	488
chemist	chemist	化学者	chemist	noun	core	489
collectivism	collectivism	集団主義	collectivism	noun	core	490
captive	captive	捕虜	captive	adjective	core	491
chemistry	chemistry	化学	chemistry	other	core	492
collide	collide	衝突する	collide	verb	core	493
captivity	captivity	捕虜	captive	noun	core	494
cherish	cherish	大切にする	cherish	verb	core	495
collision	collision	衝突	collide	noun	core	496
capture	capture	キャプチャ	capture	other	core	497
chew	chew	噛む	chew	verb	core	498
colonial	colonial	植民地時代の	colony	adjective	core	499
carriage	carriage	馬車	carriage	noun	core	500
choke	choke	窒息する	choke	verb	core	501
colonize	colonize	植民地化する	colonize	verb	core	502
carve	carve	彫る	carve	verb	core	503
chore	chore	雑用	chore	other	core	504
colony	colony	コロニー	colony	other	core	505
cast	cast	キャスト	cast	other	core	506
chronic	chronic	慢性的な	chronic	adjective	core	507
column	column	コラム	column	other	core	508
casual	casual	カジュアルな	casual	adjective	core	509
chuckle	chuckle	笑う	chuckle	verb	core	510
combat	combat	戦闘	combat	other	core	511
casually	casually	何気なく	casual	adverb	core	512
circulate	circulate	循環する	circulate	verb	core	513
combative	combative	好戦的な	combat	adjective	core	514
casualty	casualty	死傷者	casualty	noun	core	515
circulation	circulation	循環	circulate	noun	core	516
combination	combination	組み合わせ	combine	noun	core	517
catastrophe	catastrophe	大惨事	catastrophe	other	core	518
circumstance	circumstance	事情	circumstance	noun	core	519
combine	combine	組み合わせる	combine	verb	core	520
catastrophic	catastrophic	壊滅的な	catastrophic	adjective	core	521
circumstantial	circumstantial	状況的な	circumstantial	adjective	core	522
comfort	comfort	快適さ	comfort	noun	core	523
categorize	categorize	分類する	categorize	verb	core	524
citation	citation	引用	cite	noun	core	525
comfortable	comfortable	快適な	comfort	adjective	core	526
category	category	カテゴリ	category	noun	core	527
cite	cite	引用する	cite	verb	core	528
command	command	コマンド	command	noun	core	529
cattle	cattle	牛	cattle	noun	core	530
civil	civil	民事	civil	adjective	core	531
commerce	commerce	商業	commerce	noun	core	532
commercial	commercial	コマーシャル	commerce	adjective	core	533
comprehensible	comprehensible	理解できる	comprehensible	adjective	core	534
conformity	conformity	適合性	conform	noun	core	535
confront	confront	対決する	confront	verb	core	536
commission	commission	手数料	commission	noun	core	537
comprehension	comprehension	理解	comprehend	noun	core	538
confrontation	confrontation	対決	confrontation	noun	core	539
commit	commit	コミットする	commit	verb	core	540
confuse	confuse	混乱させる	confuse	verb	core	541
commitment	commitment	コミットメント	commit	noun	core	542
committee	committee	委員会	committee	other	core	543
comprehensive	comprehensive	包括的な	comprehensive	adjective	core	544
confused	confused	混乱している	confused	verb	core	545
commodity	commodity	商品	commodity	noun	core	546
comprise	comprise	含む	comprise	verb	core	547
confusing	confusing	紛らわしい	confusing	other	core	548
common	common	共通の	common	adjective	core	549
compromise	compromise	妥協	compromise	verb	core	550
confusion	confusion	混乱	confuse	noun	core	551
compulsion	compulsion	強制	compulsion	noun	core	552
congest	congest	混雑	congest	other	core	553
commonplace	commonplace	ありふれた	commonplace	other	core	554
congestion	congestion	混雑	congest	noun	core	555
commute	commute	通勤	commute	other	core	556
compulsive	compulsive	強迫的な	compulsive	adjective	core	557
congratulate	congratulate	おめでとう	congratulate	verb	core	558
commuter	commuter	通勤者	commute	noun	core	559
companion	companion	仲間	companion	other	core	560
compulsory	compulsory	強制的	compulsory	noun	core	561
congratulation	congratulation	おめでとうございます	congratulate	noun	core	562
companionship	companionship	交友関係	companionship	noun	core	563
congress	congress	議会	congress	other	core	564
comparable	comparable	匹敵する	compare	verb	core	565
conceal	conceal	隠す	conceal	adjective	core	566
congressman	congressman	議員	congressman	noun	core	567
comparative	comparative	比較	comparative	adjective	core	568
concealment	concealment	隠蔽	conceal	noun	core	569
connect	connect	接続する	connect	verb	core	570
conceit	conceit	うぬぼれ	conceit	other	core	571
connection	connection	接続	connect	noun	core	572
compare	compare	比較する	compare	verb	core	573
conceited	conceited	うぬぼれている	conceited	verb	core	574
conquer	conquer	征服する	conquer	verb	core	575
comparison	comparison	比較	comparison	noun	core	576
compassion	compassion	思いやり	compassion	noun	core	577
conceive	conceive	妊娠する	conceive	verb	core	578
conqueror	conqueror	征服者	conquer	noun	core	579
compassionate	compassionate	思いやりのある	compassionate	verb	core	580
concentrate	concentrate	集中する	concentrate	verb	core	581
conquest	conquest	征服	conquest	noun	core	582
compatibility	compatibility	互換性	compatibility	noun	core	583
concentration	concentration	集中力	concentrate	noun	core	584
conscience	conscience	良心	conscience	noun	core	585
compatible	compatible	互換性のある	compatible	adjective	core	586
conception	conception	受胎	conception	noun	core	587
conscientious	conscientious	良心的な	conscientious	adjective	core	588
compel	compel	強制する	compel	verb	core	589
concern	concern	懸念	concern	other	core	590
conscious	conscious	意識のある	conscious	adjective	core	591
concerning	concerning	について	concerning	other	core	592
consciousness	consciousness	意識	conscious	noun	core	593
compelling	compelling	説得力のある	compelling	verb	core	594
compensate	compensate	補償する	compensate	verb	core	595
conclude	conclude	結論付ける	conclude	verb	core	596
consensual	consensual	合意的な	consensual	adjective	core	597
compensation	compensation	補償	compensate	noun	core	598
conclusion	conclusion	結論	conclude	noun	core	599
consensus	consensus	コンセンサス	consensus	other	core	600
compete	compete	競争する	compete	verb	core	601
